City,Temperature (F),Humidity (%),Cloud Coverage (%),Wind Speed (mph),Latitude,Longitude
Abnūb,57.2,41,0,8.05,27.27,31.15
Chunhuhub,75.67,81,0,4.56,19.55,-88.68
Matamoros,88.57,5,75,17.22,25.53,-103.25
Tabuk,84.36,59,46,5.06,17.42,121.44
Caceres,55.0,93,67,1.01,39.52,-6.37
Kyzyl-Suu,49.48,28,82,2.89,42.34,78.0
Hvide Sande,47.68,76,86,11.41,56.0,8.13
Kiboga,64.8,60,92,2.19,0.92,31.77
Deori Khās,91.47,12,1,5.17,23.4,79.02
Lexington,55.62,46,90,6.93,37.99,-84.48
Bluefield,50.68,27,90,1.23,37.27,-81.22
Sydney Mines,33.58,80,90,9.17,46.24,-60.22
Cascavel,55.0,39,0,3.42,-24.96,-53.46
Plettenberg Bay,65.79,52,78,9.22,-34.05,23.37
Posadas,68.0,60,0,4.7,-27.37,-55.9
Monrovia,80.44,82,55,2.01,6.3,-10.8
Majene,83.62,64,78,3.13,-3.54,118.97
Caetité,68.02,73,98,0.83,-14.07,-42.48
Karratha,89.96,37,0,17.56,-20.74,116.85
Nishihara,68.0,77,75,25.28,26.18,127.76
Carbonia,47.1,93,0,4.7,39.17,8.52
Kyshtovka,37.31,80,43,7.02,56.55,76.63
Puerto Nariño,74.91,94,99,1.03,-3.77,-70.38
Halifax,38.5,69,90,12.75,44.65,-63.57
Paita,76.71,65,97,9.95,-5.09,-81.11
Makakilo City,80.78,58,20,12.75,21.35,-158.09
Emba,43.54,55,0,7.34,48.83,58.14
Vila Franca do Campo,57.2,76,20,11.41,37.72,-25.43
Praia da Vitória,60.8,82,40,11.41,38.73,-27.07
Kokopo,84.85,70,78,5.53,-4.35,152.26
Kaeo,68.5,82,87,13.0,-35.1,173.78
Selfoss,33.6,69,22,3.36,63.93,-21.0
Talnakh,33.8,95,75,33.55,69.49,88.4
Shelburne,36.36,80,1,2.24,44.08,-80.2
General Pico,61.21,62,100,6.4,-35.66,-63.76
Mossamedes,77.14,63,12,4.25,-15.2,12.15
Vanavara,37.85,69,0,4.92,60.34,102.28
Sembakung,85.23,74,43,1.59,3.82,117.25
Matipó,65.12,79,30,2.82,-20.28,-42.34
Chabahar,77.07,78,69,6.35,25.29,60.64
Athabasca,23.5,90,99,7.38,54.72,-113.29
Auki,83.93,71,85,1.7,-8.77,160.7
Durazno,55.76,80,17,3.94,-33.41,-56.5
Kibaya,58.87,66,100,2.86,-5.3,36.57
Saint-Leu,67.69,78,19,5.82,-21.15,55.28
Tolmezzo,54.41,51,46,4.29,46.41,13.02
Ternate,85.28,69,18,7.14,0.8,127.4
Ballina,71.87,53,40,17.22,-28.87,153.57
Svarstad,39.78,100,91,5.82,59.4,9.97
Yangi Marg`ilon,52.07,76,66,6.93,40.43,71.72
Turukhansk,35.49,96,100,15.73,65.82,87.98
